ID,Nombre,Nombre científico,Categoría,Agua,Región/Zona,Hábitat,Método,Cebo/Señuelo,Franja horaria,Temporada,Dificultad (1-10),Exclusividad,Peso mín (kg),Peso máx (kg),Precio venta (monedas),XP base,Notas
22,Black bass (smallmouth),Micropterus dolomieu,Pez,Dulce,Grandes Lagos,"Río pedregoso, Lago claro","Spinning, Mosca","Crankbait, Streamers",Día/Amanecer,Primavera-Otoño,5,Poco común,0.5,4.0,20,105,"Prefiere aguas frías y claras, sustratos rocosos."
13,Lucio (northern pike),Esox lucius,Pez,Dulce,Grandes Lagos,"Lago con juncos, Río lento","Spinning, Jerking","Spinnerbait, Jerkbait",Día/Nublado,Primavera-Otoño,6,Poco común,1.0,15.0,75,125,"Emboscador, picos de actividad con viento y nubes."
33,Muskellunge (muskie),Esox masquinongy,Pez,Dulce,Grandes Lagos,"Lago, Río","Spinning jerk, Trolling","Jerkbait grande, Bucktail",Día/Nublado,Verano-Otoño,8,Raro,5.0,20.0,180,240,Bajas densidades; muchas horas por un ataque.
16,Walleye,Sander vitreus,Pez,Dulce,Grandes Lagos,"Lago profundo, Río","Jigging, Spinning, Trolling lento","Minnow vivo, Jig cabeza plomo",Noche/Amanecer,Primavera-Otoño,5,Poco común,1.0,5.0,25,105,Se activa con poca luz y aguas turbias.
45,Mahseer dorado,Tor putitora,Pez,Dulce,Himalaya (India/Nepal),Río de montaña,"Spinning, Mosca","Spoons, Streamers",Amanecer/Atardecer,Primavera-Otoño,8,Raro,2.0,20.0,160,240,Muy inteligente y fuerte; abordar pozas profundas.
52,Perca del Nilo,Lates niloticus,Pez,Dulce,Lago Victoria,Lago grande,"Spinning pesado, Trolling",Crankbait grande,Noche/Tarde,Seca,8,Épico,2.0,40.0,455,360,Depredador tope; buscar bordes de cardúmenes.
17,Walleye,Sander vitreus,Pez,Dulce,Minnesota/Canadá,"Lago profundo, Río","Jigging, Spinning, Trolling lento","Minnow vivo, Jig cabeza plomo",Noche/Amanecer,Primavera-Otoño,5,Poco común,1.0,5.0,25,105,Se activa con poca luz y aguas turbias.
30,Bagre de canal,Ictalurus punctatus,Pez,Dulce,Mississippi,"Río, Embalse",Fondo con carnada,"Queso, hígado",Noche,Verano,4,Común,1.0,10.0,35,60,Responde a olores fuertes; pesca nocturna efectiva.
23,Black bass (smallmouth),Micropterus dolomieu,Pez,Dulce,Ontario,"Río pedregoso, Lago claro","Spinning, Mosca","Crankbait, Streamers",Día/Amanecer,Primavera-Otoño,5,Poco común,0.5,4.0,20,105,"Prefiere aguas frías y claras, sustratos rocosos."
1,Trucha arcoíris,Oncorhynchus mykiss,Pez,Dulce,Pacífico Noroeste,"Río de montaña, Lago frío","Mosca, Spinning ligero","Mosca seca, Cucharilla #1",Día/Amanecer,Primavera-Otoño,4,Poco común,0.5,5.0,25,84,Muy sensible a la temperatura; agua clara y fría.
55,Surubí (Tiger shovelnose),Pseudoplatystoma corruscans,Pez,Dulce,Paraná/Paraguay,Río profundo,"Fondo pesado, Spinning lento","Calamar, Señuelo blando",Noche,Verano,7,Raro,5.0,25.0,205,210,Gran olfato; zonas de remanso y palos.
38,Dorado (salminus),Salminus brasiliensis,Pez,Dulce,Paraná/Uruguay,Río rápido,"Spinning pesado, Mosca grande","Streamer grande, Señuelo de paleta",Amanecer/Atardecer,Invierno-Primavera,7,Raro,2.0,10.0,85,210,Dentadura fuerte; líder de acero recomendado.
3,Trucha arcoíris,Oncorhynchus mykiss,Pez,Dulce,Patagonia,"Río de montaña, Lago frío","Mosca, Spinning ligero","Mosca seca, Cucharilla #1",Día/Amanecer,Primavera-Otoño,4,Poco común,0.5,5.0,25,84,Muy sensible a la temperatura; agua clara y fría.
5,Trucha común (marrón),Salmo trutta,Pez,Dulce,Patagonia,"Río, Arroyo, Lago","Mosca, Spinning ligero","Streamer, Minnow pequeño",Amanecer/Atardecer,Primavera-Otoño,5,Poco común,0.6,8.0,40,105,"Cauta; se camufla bien, requiere presentación fina."
27,Barbo (iberico),Luciobarbus spp.,Pez,Dulce,Península Ibérica,"Río medio, Embalse","Fondo, Feeder","Queso, masa, lombriz",Día,Primavera-Otoño,3,Común,0.5,4.0,15,45,Excelente en corrientes moderadas; boca inferior.
21,Black bass (largemouth),Micropterus salmoides,Pez,Dulce,Península Ibérica (pantanos),"Embalse, Lago con cobertura","Spinning, Topwater","Spinnerbait, Popper, Texas rig",Amanecer/Atardecer,Primavera-Otoño,5,Poco común,0.5,6.0,30,105,"Reacciona a coberturas, estructuras y sombras."
28,Siluro europeo (wels),Silurus glanis,Pez,Dulce,Río Ebro,"Gran río, Embalse profundo","Spinning pesado, Pellets al fondo","Señuelos XXL, Calamar",Noche,Verano-Otoño,8,Épico,5.0,80.0,1195,360,Gigante nocturno; usar equipo muy robusto.
44,Bagre gigante del Mekong,Pangasianodon gigas,Pez,Dulce,Sudeste Asiático,Río Mekong,Fondo muy pesado,"Bolas de harina, algas",Noche,Temporada de lluvias,10,Legendario,30.0,200.0,5830,750,Resistencia extrema; combate de larga duración.
46,Snakehead gigante,Channa micropeltes,Pez,Dulce,Sudeste Asiático,"Pantano, Río selva","Topwater, Spinning","Rana artificial, Paseante",Mañana/Tarde,Lluvias,7,Raro,1.0,10.0,75,210,Depredador territorial; ataques violentos en superficie.
31,Bagre de canal,Ictalurus punctatus,Pez,Dulce,Texas/Oklahoma,"Río, Embalse",Fondo con carnada,"Queso, hígado",Noche,Verano,4,Común,1.0,10.0,35,60,Responde a olores fuertes; pesca nocturna efectiva.
34,Muskellunge (muskie),Esox masquinongy,Pez,Dulce,Wisconsin,"Lago, Río","Spinning jerk, Trolling","Jerkbait grande, Bucktail",Día/Nublado,Verano-Otoño,8,Raro,5.0,20.0,180,240,Bajas densidades; muchas horas por un ataque.
8,Salmón chinook (rey),Oncorhynchus tshawytscha,Pez,Dulce/Salada,Alaska,"Río grande, Estuario, Costa fría","Mosca grande, Spinning pesado, Curricán","Spoons 40g, Plug profundo",Amanecer/Noche,Verano-Otoño,7,Épico,4.0,25.0,350,315,Luchador extremo; requiere equipo robusto.
6,Salmón atlántico,Salmo salar,Pez,Dulce/Salada,Atlántico Norte (Escocia/Noruega),"Río (remontada), Estuario","Mosca de salmón, Spinning pesado","Mosca tube, Cucharilla grande",Amanecer/Atardecer,Verano-Otoño (remonte),6,Raro,2.0,15.0,130,180,Ejemplares en remontada; captura y suelta recomendado.
7,Salmón atlántico,Salmo salar,Pez,Dulce/Salada,Canadá Atlántica,"Río (remontada), Estuario","Mosca de salmón, Spinning pesado","Mosca tube, Cucharilla grande",Amanecer/Atardecer,Verano-Otoño (remonte),6,Raro,2.0,15.0,130,180,Ejemplares en remontada; captura y suelta recomendado.
9,Salmón chinook (rey),Oncorhynchus tshawytscha,Pez,Dulce/Salada,Columbia Británica,"Río grande, Estuario, Costa fría","Mosca grande, Spinning pesado, Curricán","Spoons 40g, Plug profundo",Amanecer/Noche,Verano-Otoño,7,Épico,4.0,25.0,350,315,Luchador extremo; requiere equipo robusto.
10,Salmón chinook (rey),Oncorhynchus tshawytscha,Pez,Dulce/Salada,Pacífico Noroeste,"Río grande, Estuario, Costa fría","Mosca grande, Spinning pesado, Curricán","Spoons 40g, Plug profundo",Amanecer/Noche,Verano-Otoño,7,Épico,4.0,25.0,350,315,Luchador extremo; requiere equipo robusto.
48,Tilapia del Nilo,Oreochromis niloticus,Pez,Dulce/Salobre,América tropical,"Lago, Canal","Flotador, Fondo","Masa, vegetales",Día,Todo el año,2,Común,0.5,3.0,10,30,Omnívora; abundante en aguas cálidas.
15,Lucioperca (zander),Sander lucioperca,Pez,Dulce/Salobre,Báltico interior,"Embalse, Río lento","Jigging, Spinning lento","Vinilo shad 3-4"", Pececillo",Noche/Atardecer,Primavera-Otoño,6,Poco común,1.0,8.0,50,125,Excelente visión nocturna; buscar cortados y taludes.
